Dataset,TaggedPitchType,PitcherThrows,RelSpeed_Mean,RelSpeed_Median,RelSpeed_Std,SpinRate_Mean,SpinRate_Median,SpinRate_Std,IVB_Mean,IVB_Median,IVB_Std,HB_Mean,HB_Median,HB_Std,Extension_Mean,Extension_Median,Extension_Std,RelHeight_Mean,RelHeight_Median,RelHeight_Std,VAA_Mean,VAA_Median,VAA_Std,HAA_Mean,HAA_Median,HAA_Std
B1G TEN,Fastball,Right,91.35900426397515,91.378814,2.49306708154162,2296.4267262079193,2289.1986553999996,142.91005601280662,18.356550535714288,18.9049355,3.9397872698634515,15.039453419254661,15.446668000000003,4.282260181132559,6.31969347515528,6.324986,0.48849518385558033,5.949315796583851,5.9986245,0.5177105769460851,-4.220536074999999,-4.2056004,0.597733978123172,0.47052684534161515,0.5502641500000002,0.7498520888301974
B1G TEN,Fastball,Left,89.56601220940172,89.7963995,2.7242857769608424,2247.7443423358973,2245.38573205,157.34342929843498,18.532800957264957,18.615371500000002,3.6370639101626403,-7.064253495726495,-7.303909999999998,5.218843716267812,6.209664166666666,6.2093325,0.47934349138760635,5.851561068376069,5.881463,0.5355769394200928,-4.271551023076922,-4.242316949999999,0.61499290403579,2.1790239931623936,2.1533265,0.8386200050442363
B1G TEN,Slider,Right,81.96663754045306,82.08009899999999,2.9749285350872787,2452.0380852634303,2455.14293785,237.95445629917324,4.498796771844661,4.8712040000000005,4.220069720955752,-2.532080042071197,-2.796429499999995,6.010794027425979,5.876491750809062,5.902537000000001,0.4656634414240495,5.796022809061489,5.84619,0.5344317223606412,-6.661643090129449,-6.617307,0.8405742171446612,-1.7492118355987054,-1.6735406,0.9578573265331128
B1G TEN,Slider,Left,80.0022284162896,80.349598,3.301842836882702,2393.4346518158372,2381.9950846,233.92071833011323,4.571675619909503,4.038574,5.054026328457421,11.24289020361991,10.920076000000009,5.60500598493797,5.798200257918553,5.815894999999999,0.4829249330405113,5.710334701357466,5.688368,0.547475996440912,-6.836322579185521,-6.695926200000001,1.0462715541361014,4.429128903167421,4.3502221,1.270646816877662
B1G TEN,ChangeUp,Right,84.01124266845878,84.08372399999999,2.802741724706649,1947.1033274252688,1947.31801065,296.7132258067956,11.15219094265233,11.365477,4.511467731614687,16.22254102688172,17.436485,5.369268253719839,6.260911609318996,6.24298,0.5198194462278536,5.752159100358424,5.7936890000000005,0.5236335307405361,-6.036470502867384,-5.94132255,1.030220460222453,0.6109162082437277,0.7656502500000002,1.1799820661542104
B1G TEN,ChangeUp,Left,82.21707945,82.423327,2.9911787030574057,1880.399679911818,1861.1421796999998,302.57835457045735,11.415889240909092,11.768058,4.332115444217465,-7.705486831818182,-9.836276999999999,7.424497203108309,6.198920422727274,6.2379005,0.5333172644592254,5.685953772727273,5.694203,0.5445148212519548,-6.085951092272727,-5.986769499999999,1.0627621141383872,1.6920694400000003,1.7469460000000003,1.2263194769848538
B1G TEN,Curveball,Right,79.18110480885781,78.99484,3.1207604432082143,2440.2418993853144,2445.2066225999997,271.57777830127725,-3.069444995337995,-3.67142,6.532066820969543,-4.8431151351981345,-5.455691999999997,6.739759151771942,5.7421500000000005,5.723165,0.5069091903160531,5.9284423146853165,5.986078,0.5107576108000484,-7.932964824708625,-7.896701999999999,1.186785892787231,-1.648140151048951,-1.5328644000000002,1.2251268256994932
B1G TEN,Curveball,Left,77.60289166049382,77.77228099999999,3.1954257771926824,2367.8252268574074,2361.3594558000004,266.22019307651567,-2.5949730802469135,-2.316401999999999,6.350415625059605,11.190921506172838,12.433968000000002,6.995152360369175,5.730834228395062,5.7324205,0.4977078418880204,5.858034617283951,5.905352000000001,0.5007491151570509,-7.890354895679012,-7.88980965,1.0864171364293742,3.8934554530864194,3.92370655,1.3467682777423982
B1G TEN,Sinker,Right,90.02097503833866,90.5161,3.345329671616075,2230.184608145687,2227.1257276,174.19259583008846,11.974809562300319,12.606172,4.519985347799777,16.681204396166134,18.675220999999997,6.957655158207509,6.132265728434505,6.171222,0.5250434554728421,5.639419607028754,5.752191000000001,0.6012298485359259,-5.110430740894569,-4.9113339,1.0982553358265181,0.3967917587859426,0.58228,1.230041706836937
B1G TEN,Sinker,Left,87.8492039642857,88.9261185,4.233466438141177,2177.84692622381,2154.5757027500003,200.73650579856246,11.904727714285713,12.413793000000002,4.734880651392912,-11.132269333333333,-13.391111999999998,7.778021516575502,6.029613464285715,6.007785,0.5675998751109473,5.500549488095238,5.497209,0.5306869215063554,-5.149828754761904,-4.87267325,1.2839656677497473,1.9288183202380955,1.9858943999999998,1.2572966257754377
